"filename", "language", "TypeScript", "SCSS", "HTML", "comment", "blank", "total"
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\invalid\invalidstatedemo-routing.module.ts", "TypeScript", 10, 0, 0, 0, 2, 12
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\invalid\invalidstatedemo.component.html", "HTML", 0, 0, 50, 0, 4, 54
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\invalid\invalidstatedemo.component.ts", "TypeScript", 45, 0, 0, 2, 20, 67
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\invalid\invalidstatedemo.module.ts", "TypeScript", 36, 0, 0, 0, 2, 38
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\list\listdemo-routing.module.ts", "TypeScript", 10, 0, 0, 0, 2, 12
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\list\listdemo.component.html", "HTML", 0, 0, 84, 0, 5, 89
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\list\listdemo.component.ts", "TypeScript", 55, 0, 0, 0, 19, 74
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\list\listdemo.module.ts", "TypeScript", 28, 0, 0, 0, 2, 30
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\media\mediademo-routing.module.ts", "TypeScript", 10, 0, 0, 0, 2, 12
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\media\mediademo.component.html", "HTML", 0, 0, 50, 0, 3, 53
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\media\mediademo.component.ts", "TypeScript", 55, 0, 0, 0, 10, 65
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\media\mediademo.module.ts", "TypeScript", 20, 0, 0, 0, 2, 22
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\menus\confirmation.component.ts", "TypeScript", 12, 0, 0, 0, 3, 15
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\menus\menus.component.html", "HTML", 0, 0, 72, 0, 13, 85
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\menus\menus.component.ts", "TypeScript", 439, 0, 0, 0, 38, 477
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\menus\menus.module.ts", "TypeScript", 49, 0, 0, 0, 1, 50
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\menus\payment.component.ts", "TypeScript", 12, 0, 0, 0, 3, 15
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\menus\personal.component.ts", "TypeScript", 12, 0, 0, 0, 3, 15
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\menus\seat.component.ts", "TypeScript", 12, 0, 0, 0, 3, 15
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\messages\messagesdemo-routing.module.ts", "TypeScript", 10, 0, 0, 0, 2, 12
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\messages\messagesdemo.component.html", "HTML", 0, 0, 51, 0, 6, 57
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\messages\messagesdemo.component.ts", "TypeScript", 38, 0, 0, 0, 13, 51
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\messages\messagesdemo.module.ts", "TypeScript", 22, 0, 0, 0, 2, 24
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\misc\miscdemo-routing.module.ts", "TypeScript", 10, 0, 0, 0, 2, 12
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\misc\miscdemo.component.html", "HTML", 0, 0, 162, 0, 17, 179
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\uikit\misc\miscdemo.component.ts", "TypeScript", 20, 0, 0, 0, 7, 27
